Gender,,,Weight,Height
Male,73.847017017515,241.893563180437,109.720985110141,187.571423224488
Male,68.7819040458903,162.3104725213,73.6227318518815,174.706036276561
Male,74.1101053917849,212.7408555565,96.4975501535839,188.239667695134
Male,71.7309784033377,220.042470303077,99.8095041897133,182.196685144478
Male,69.8817958611153,206.349800623871,93.5986187645829,177.499761487233
Male,67.2530156878065,152.212155757083,69.0422161541668,170.822659847029
Male,68.7850812516616,183.927888604031,83.4282188476796,174.71410637922
Male,68.3485155115879,167.971110489509,76.1903519491574,173.605229399433
Male,67.018949662883,175.92944039571,79.8001867279709,170.228132143723
Male,63.4564939783664,156.399676387112,70.9416420117829,161.179494705051
Male,71.1953822829745,186.604925560358,84.6425013947739,180.836270998755
Male,71.6408051192206,213.741169489411,96.9512845510409,181.96764500282
Male,64.7663291334055,167.127461073476,75.8076793232401,164.50647599885
Male,69.2830700967204,189.446181386738,85.9312723075733,175.97899804567
Male,69.2437322298112,186.434168021239,84.5650471410898,175.87907986372
Male,67.6456197004212,172.186930058117,78.1026139789214,171.81987403907
Male,72.4183166259878,196.028506330482,88.916962243456,183.942524230009
Male,63.974325721061,172.88347020878,78.4185590189409,162.494787331495
Male,69.6400598997523,185.98395757313,84.3608352835112,176.885752145371
Male,67.9360048540095,182.426648013226,82.7472681256152,172.557452329184
Male,67.9150501938206,174.115929081393,78.9775925038872,172.504227492304
Male,69.4394398680395,197.73142161472,89.6893909930641,176.37617726482
Male,66.1491319608781,149.173566007975,67.6639361526894,168.01879518063
Male,75.2059736142212,228.761780615196,103.764513592808,191.023172980122
Male,67.8931963386043,162.006651848287,73.4849212251682,172.448718700055
Male,68.1440327982008,192.343976579187,87.2456890245066,173.08584330743
Male,69.0896314289256,184.435174408406,83.6583196302577,175.487663829471
Male,72.8008435165003,206.828189420354,93.8156120955572,184.914142531911
Male,67.4212422817167,175.213922399227,79.4756334889102,171.24995539556
Male,68.4964153568827,154.342638925955,70.0085862757018,173.980895006482
Male,68.6181105502058,187.506843155807,85.0516040007288,174.290000797523
Male,74.0338076216678,212.910225325521,96.5743749258537,188.045871359036
Male,71.5282160355709,195.032243233835,88.4650652729217,181.68166873035
Male,69.1801610995692,205.183621341371,93.0696491714752,175.717609192906
Male,69.577202365402,204.164125484101,92.6072140065843,176.726094008121
Male,70.4009288884762,192.903515074649,87.4994912097402,178.81835937673
Male,69.0761711675356,197.488242598925,89.5790869369316,175.45347476554
Male,67.1935232827228,183.810973232751,83.37518697059,170.671549138116
Male,65.8073156549306,163.851824878622,74.3218769503439,167.150581763524
Male,64.3041878915595,163.108017147583,73.9844917140065,163.332637244561
Male,67.9743362271967,172.135597406825,78.0793298989566,172.65481401708
Male,72.1894259592134,194.045404898059,88.0174432985204,183.361141936402
Male,65.2703455240394,168.617746204292,76.4836607362972,165.78667763106
Male,66.0901773762725,161.193432596622,73.116051478367,167.869050535732
Male,67.5103215157138,164.660277264007,74.6885844847355,171.476216649913
Male,70.1047862551571,188.922303151274,85.6936453309927,178.066157088099
Male,68.2518364408672,187.060552163801,84.8491699770828,173.359664559803
Male,72.1727091157973,209.070863390252,94.8328710669112,183.318681154125
Male,69.1798576188774,192.014335412005,87.0961664282022,175.716838351949
Male,72.870360147235,211.34249681964,95.8632658174141,185.090714773977
Male,64.7825829779871,165.61162618225,75.1201087432591,164.547760764087
Male,70.1835498874837,201.071918099568,91.2046134746193,178.266216714209
Male,68.4914502529394,173.423960346601,78.6637210215354,173.968283642466
Male,67.3308308810162,181.407679285937,82.2850720626667,171.020310437781
Male,66.9909440825232,169.737707400252,76.9916661750951,170.156997969609
Male,66.4995499002499,163.309528309674,74.0758955650417,168.908856746635
Male,68.3530566463988,189.710209942456,86.0510335482185,173.616763881853
Male,70.7744590703974,192.124847346168,87.146293757443,179.767126038809
Male,71.2159236694709,198.1984641076,89.9012377314945,180.888446120456
Male,70.0133653490674,209.526499837126,95.0395441141217,177.833947986631
Male,71.4031822207589,198.759792659859,90.1558518721708,181.364082840728
Male,69.5520050948319,198.079523654438,89.8472872934638,176.662092940873
Male,73.8185345577699,195.290612189727,88.5822593643626,187.499077776736
